"obs"	"tobs"	"month"	"day"	"year"	"Prec"
"85"	85	85	3	26	1900	0
"86"	86	86	3	27	1900	0.57
"87"	87	87	3	28	1900	0
"88"	88	88	3	29	1900	0
"89"	89	89	3	30	1900	0
"90"	90	90	3	31	1900	0.07
"91"	91	91	4	1	1900	0
"92"	92	92	4	2	1900	0
"93"	93	93	4	3	1900	0
"94"	94	94	4	4	1900	1.52
"95"	95	95	4	5	1900	0.49
"96"	96	96	4	6	1900	0.23
"97"	97	97	4	7	1900	0.2
"98"	98	98	4	8	1900	0.22
"99"	99	99	4	9	1900	0.91
"100"	100	100	4	10	1900	0.62
"101"	101	101	4	11	1900	0
"102"	102	102	4	12	1900	0
"103"	103	103	4	13	1900	0
"104"	104	104	4	14	1900	0.15
"105"	105	105	4	15	1900	0.84
"106"	106	106	4	16	1900	0
"107"	107	107	4	17	1900	0.46
"108"	108	108	4	18	1900	0.13
"109"	109	109	4	19	1900	0
"110"	110	110	4	20	1900	0
"111"	111	111	4	21	1900	0
"112"	112	112	4	22	1900	0.09
"113"	113	113	4	23	1900	0
"114"	114	114	4	24	1900	0.02
"115"	115	115	4	25	1900	0
"116"	116	116	4	26	1900	0
"117"	117	117	4	27	1900	1.1
"118"	118	118	4	28	1900	0.7
"119"	119	119	4	29	1900	2.39
"120"	120	120	4	30	1900	0.5
"121"	121	121	5	1	1900	0
"122"	122	122	5	2	1900	0.01
"123"	123	123	5	3	1900	0
"124"	124	124	5	4	1900	0
"125"	125	125	5	5	1900	0
"126"	126	126	5	6	1900	0.08
"127"	127	127	5	7	1900	0.04
"128"	128	128	5	8	1900	0
"129"	129	129	5	9	1900	0
"130"	130	130	5	10	1900	0
"131"	131	131	5	11	1900	0
"132"	132	132	5	12	1900	0
"133"	133	133	5	13	1900	0
"134"	134	134	5	14	1900	0.14
"135"	135	135	5	15	1900	0.07
"136"	136	136	5	16	1900	0
"137"	137	137	5	17	1900	0.08
"138"	138	138	5	18	1900	0.02
"139"	139	139	5	19	1900	0.05
"140"	140	140	5	20	1900	1.21
"141"	141	141	5	21	1900	0.02
"142"	142	142	5	22	1900	0
"143"	143	143	5	23	1900	0
"144"	144	144	5	24	1900	0.03
"145"	145	145	5	25	1900	0
"146"	146	146	5	26	1900	0
"147"	147	147	5	27	1900	0
"148"	148	148	5	28	1900	0
"149"	149	149	5	29	1900	0
"150"	150	150	5	30	1900	0
"151"	151	151	5	31	1900	0
"152"	152	152	6	1	1900	0.08
"153"	153	153	6	2	1900	0
"154"	154	154	6	3	1900	0
"155"	155	155	6	4	1900	0
"156"	156	156	6	5	1900	0
"157"	157	157	6	6	1900	0
"158"	158	158	6	7	1900	0
"159"	159	159	6	8	1900	0
"160"	160	160	6	9	1900	0
"161"	161	161	6	10	1900	0.13
"162"	162	162	6	11	1900	0.01
"163"	163	163	6	12	1900	0
"164"	164	164	6	13	1900	0.51
"165"	165	165	6	14	1900	0.01
"166"	166	166	6	15	1900	0
"167"	167	167	6	16	1900	0
"168"	168	168	6	17	1900	0
"169"	169	169	6	18	1900	0.07
"170"	170	170	6	19	1900	0
"171"	171	171	6	20	1900	0
"172"	172	172	6	21	1900	0
"173"	173	173	6	22	1900	0
"174"	174	174	6	23	1900	0
"175"	175	175	6	24	1900	0
"176"	176	176	6	25	1900	0
"177"	177	177	6	26	1900	0
"178"	178	178	6	27	1900	0
"179"	179	179	6	28	1900	0.01
"180"	180	180	6	29	1900	0
"181"	181	181	6	30	1900	0
"182"	182	182	7	1	1900	0
"183"	183	183	7	2	1900	0
"184"	184	184	7	3	1900	0.08
"185"	185	185	7	4	1900	0.08
"186"	186	186	7	5	1900	0.03
"187"	187	187	7	6	1900	0
"188"	188	188	7	7	1900	0
"189"	189	189	7	8	1900	0
"190"	190	190	7	9	1900	0
"191"	191	191	7	10	1900	0
"192"	192	192	7	11	1900	0
"193"	193	193	7	12	1900	0
"194"	194	194	7	13	1900	0
"195"	195	195	7	14	1900	0
"196"	196	196	7	15	1900	0.07
"197"	197	197	7	16	1900	0.19
"198"	198	198	7	17	1900	0
"199"	199	199	7	18	1900	0
"200"	200	200	7	19	1900	0.19
"201"	201	201	7	20	1900	0.01
"202"	202	202	7	21	1900	0
"203"	203	203	7	22	1900	0
"204"	204	204	7	23	1900	0.43
"205"	205	205	7	24	1900	0.06
"206"	206	206	7	25	1900	0
"207"	207	207	7	26	1900	0
"208"	208	208	7	27	1900	0
"209"	209	209	7	28	1900	0
"210"	210	210	7	29	1900	0
"211"	211	211	7	30	1900	0
"212"	212	212	7	31	1900	0
"213"	213	213	8	1	1900	0
"214"	214	214	8	2	1900	0
"215"	215	215	8	3	1900	0
"216"	216	216	8	4	1900	0.01
"217"	217	217	8	5	1900	0.02
"218"	218	218	8	6	1900	0
"219"	219	219	8	7	1900	0
"220"	220	220	8	8	1900	0
"221"	221	221	8	9	1900	0
"222"	222	222	8	10	1900	0
"223"	223	223	8	11	1900	0
"224"	224	224	8	12	1900	0
"225"	225	225	8	13	1900	0
"226"	226	226	8	14	1900	0
"227"	227	227	8	15	1900	0
"228"	228	228	8	16	1900	0
"229"	229	229	8	17	1900	0
"230"	230	230	8	18	1900	0
"231"	231	231	8	19	1900	0
"232"	232	232	8	20	1900	0.09
"233"	233	233	8	21	1900	0
"234"	234	234	8	22	1900	0.04
"235"	235	235	8	23	1900	0
"236"	236	236	8	24	1900	0
"237"	237	237	8	25	1900	0
"238"	238	238	8	26	1900	0
"239"	239	239	8	27	1900	0
"240"	240	240	8	28	1900	0
"241"	241	241	8	29	1900	0
"242"	242	242	8	30	1900	0
"243"	243	243	8	31	1900	0
"244"	244	244	9	1	1900	0
"245"	245	245	9	2	1900	0
"246"	246	246	9	3	1900	0
"247"	247	247	9	4	1900	0.01
"248"	248	248	9	5	1900	0
"249"	249	249	9	6	1900	0
"250"	250	250	9	7	1900	0
"251"	251	251	9	8	1900	0.25
"252"	252	252	9	9	1900	0.22
"253"	253	253	9	10	1900	0.16
"254"	254	254	9	11	1900	0
"255"	255	255	9	12	1900	0
"256"	256	256	9	13	1900	0
"257"	257	257	9	14	1900	0
"258"	258	258	9	15	1900	0
"259"	259	259	9	16	1900	0
"260"	260	260	9	17	1900	0
"261"	261	261	9	18	1900	0
"262"	262	262	9	19	1900	0
"263"	263	263	9	20	1900	0
"264"	264	264	9	21	1900	0
"265"	265	265	9	22	1900	0
"266"	266	266	9	23	1900	0
"267"	267	267	9	24	1900	0.11
"268"	268	268	9	25	1900	0.35
"269"	269	269	9	26	1900	0.54
"270"	270	270	9	27	1900	0.28
"271"	271	271	9	28	1900	0
"272"	272	272	9	29	1900	0
"273"	273	273	9	30	1900	0
"274"	274	274	10	1	1900	0
"275"	275	275	10	2	1900	0
"276"	276	276	10	3	1900	0
"277"	277	277	10	4	1900	0
"278"	278	278	10	5	1900	0
"279"	279	279	10	6	1900	0
"280"	280	280	10	7	1900	0
"281"	281	281	10	8	1900	0
"282"	282	282	10	9	1900	0
"283"	283	283	10	10	1900	0
"284"	284	284	10	11	1900	0
"285"	285	285	10	12	1900	0
"286"	286	286	10	13	1900	0
"287"	287	287	10	14	1900	0
"288"	288	288	10	15	1900	0.15
"289"	289	289	10	16	1900	0.09
"290"	290	290	10	17	1900	0
"291"	291	291	10	18	1900	0
"292"	292	292	10	19	1900	0
"293"	293	293	10	20	1900	0
"294"	294	294	10	21	1900	0
"295"	295	295	10	22	1900	0
"296"	296	296	10	23	1900	0
"297"	297	297	10	24	1900	0
"298"	298	298	10	25	1900	0
"299"	299	299	10	26	1900	0
"300"	300	300	10	27	1900	0
"301"	301	301	10	28	1900	0
"302"	302	302	10	29	1900	0
"303"	303	303	10	30	1900	0
"304"	304	304	10	31	1900	0
"305"	305	305	11	1	1900	0
"306"	306	306	11	2	1900	0
"307"	307	307	11	3	1900	0
"308"	308	308	11	4	1900	0
"309"	309	309	11	5	1900	0
"310"	310	310	11	6	1900	0
"311"	311	311	11	7	1900	0
"312"	312	312	11	8	1900	0
"313"	313	313	11	9	1900	0
"314"	314	314	11	10	1900	0
"315"	315	315	11	11	1900	0
"316"	316	316	11	12	1900	0
"317"	317	317	11	13	1900	0
"318"	318	318	11	14	1900	0
"319"	319	319	11	15	1900	0
"320"	320	320	11	16	1900	0
"321"	321	321	11	17	1900	0
"322"	322	322	11	18	1900	0
"323"	323	323	11	19	1900	0
"324"	324	324	11	20	1900	0.07
"325"	325	325	11	21	1900	0
"326"	326	326	11	22	1900	0
"327"	327	327	11	23	1900	0
"328"	328	328	11	24	1900	0
"329"	329	329	11	25	1900	0
"330"	330	330	11	26	1900	0
"331"	331	331	11	27	1900	0
"332"	332	332	11	28	1900	0
"333"	333	333	11	29	1900	0
"334"	334	334	11	30	1900	0
"335"	335	335	12	1	1900	0
"336"	336	336	12	2	1900	0
"337"	337	337	12	3	1900	0
"338"	338	338	12	4	1900	0
"339"	339	339	12	5	1900	0
"340"	340	340	12	6	1900	0
"341"	341	341	12	7	1900	0
"342"	342	342	12	8	1900	0
"343"	343	343	12	9	1900	0
"344"	344	344	12	10	1900	0
"345"	345	345	12	11	1900	0
"346"	346	346	12	12	1900	0
"347"	347	347	12	13	1900	0
"348"	348	348	12	14	1900	0
"349"	349	349	12	15	1900	0
"350"	350	350	12	16	1900	0
"351"	351	351	12	17	1900	0
"352"	352	352	12	18	1900	0
"353"	353	353	12	19	1900	0
"354"	354	354	12	20	1900	0
"355"	355	355	12	21	1900	0
"356"	356	356	12	22	1900	0
"357"	357	357	12	23	1900	0
"358"	358	358	12	24	1900	0
"359"	359	359	12	25	1900	0
"360"	360	360	12	26	1900	0
"361"	361	361	12	27	1900	0
"362"	362	362	12	28	1900	0
"363"	363	363	12	29	1900	0
"364"	364	364	12	30	1900	0.11
"365"	365	365	12	31	1900	0
"366"	366	1	1	1	1901	0
"367"	367	2	1	2	1901	0
"368"	368	3	1	3	1901	0
"369"	369	4	1	4	1901	0
"370"	370	5	1	5	1901	0
"371"	371	6	1	6	1901	0
"372"	372	7	1	7	1901	0
"373"	373	8	1	8	1901	0.13
"374"	374	9	1	9	1901	0.01
"375"	375	10	1	10	1901	0
"376"	376	11	1	11	1901	0
"377"	377	12	1	12	1901	0
"378"	378	13	1	13	1901	0
"379"	379	14	1	14	1901	0
"380"	380	15	1	15	1901	0
"381"	381	16	1	16	1901	0
"382"	382	17	1	17	1901	0
"383"	383	18	1	18	1901	0
"384"	384	19	1	19	1901	0
"385"	385	20	1	20	1901	0
"386"	386	21	1	21	1901	0
"387"	387	22	1	22	1901	0
"388"	388	23	1	23	1901	0
"389"	389	24	1	24	1901	0
"390"	390	25	1	25	1901	0
"391"	391	26	1	26	1901	0
"392"	392	27	1	27	1901	0
"393"	393	28	1	28	1901	0
"394"	394	29	1	29	1901	0.05
"395"	395	30	1	30	1901	0
"396"	396	31	1	31	1901	0
"397"	397	32	2	1	1901	0
"398"	398	33	2	2	1901	0.07
"399"	399	34	2	3	1901	0.15
"400"	400	35	2	4	1901	0.04
"401"	401	36	2	5	1901	0
"402"	402	37	2	6	1901	0
"403"	403	38	2	7	1901	0.06
"404"	404	39	2	8	1901	0.01
"405"	405	40	2	9	1901	0
"406"	406	41	2	10	1901	0
"407"	407	42	2	11	1901	0
"408"	408	43	2	12	1901	0
"409"	409	44	2	13	1901	0
"410"	410	45	2	14	1901	0
"411"	411	46	2	15	1901	0
"412"	412	47	2	16	1901	0
"413"	413	48	2	17	1901	0
"414"	414	49	2	18	1901	0
"415"	415	50	2	19	1901	0
"416"	416	51	2	20	1901	0.04
"417"	417	52	2	21	1901	0
"418"	418	53	2	22	1901	0.01
"419"	419	54	2	23	1901	0
"420"	420	55	2	24	1901	0
"421"	421	56	2	25	1901	0
"422"	422	57	2	26	1901	0
"423"	423	58	2	27	1901	0
"424"	424	59	2	28	1901	0
"425"	425	60	3	1	1901	0
"426"	426	61	3	2	1901	0
"427"	427	62	3	3	1901	0.02
"428"	428	63	3	4	1901	0.15
"429"	429	64	3	5	1901	0
"430"	430	65	3	6	1901	0
"431"	431	66	3	7	1901	0
"432"	432	67	3	8	1901	0.11
"433"	433	68	3	9	1901	0.37
"434"	434	69	3	10	1901	0
"435"	435	70	3	11	1901	0
"436"	436	71	3	12	1901	0
"437"	437	72	3	13	1901	0
"438"	438	73	3	14	1901	0
"439"	439	74	3	15	1901	0
"440"	440	75	3	16	1901	0
"441"	441	76	3	17	1901	0
"442"	442	77	3	18	1901	0
"443"	443	78	3	19	1901	0
"444"	444	79	3	20	1901	0
"445"	445	80	3	21	1901	0
"446"	446	81	3	22	1901	0
"447"	447	82	3	23	1901	0
"448"	448	83	3	24	1901	0
"449"	449	84	3	25	1901	0
"450"	450	85	3	26	1901	0
"451"	451	86	3	27	1901	0.2
"452"	452	87	3	28	1901	0.23
"453"	453	88	3	29	1901	0.8
"454"	454	89	3	30	1901	0
"455"	455	90	3	31	1901	0
"456"	456	91	4	1	1901	0
"457"	457	92	4	2	1901	0
"458"	458	93	4	3	1901	0
"459"	459	94	4	4	1901	0.1
"460"	460	95	4	5	1901	0
"461"	461	96	4	6	1901	0
"462"	462	97	4	7	1901	0
"463"	463	98	4	8	1901	0
"464"	464	99	4	9	1901	1.59
"465"	465	100	4	10	1901	0.54
"466"	466	101	4	11	1901	0.75
"467"	467	102	4	12	1901	0
"468"	468	103	4	13	1901	0.05
"469"	469	104	4	14	1901	0
"470"	470	105	4	15	1901	0.38
"471"	471	106	4	16	1901	0.21
"472"	472	107	4	17	1901	0
"473"	473	108	4	18	1901	0
"474"	474	109	4	19	1901	0
"475"	475	110	4	20	1901	0
"476"	476	111	4	21	1901	0
"477"	477	112	4	22	1901	0
"478"	478	113	4	23	1901	0
"479"	479	114	4	24	1901	0
"480"	480	115	4	25	1901	0
"481"	481	116	4	26	1901	0
"482"	482	117	4	27	1901	0
"483"	483	118	4	28	1901	0
"484"	484	119	4	29	1901	0
"485"	485	120	4	30	1901	0
"486"	486	121	5	1	1901	0
"487"	487	122	5	2	1901	0.04
"488"	488	123	5	3	1901	0.04
"489"	489	124	5	4	1901	0.05
"490"	490	125	5	5	1901	0
"491"	491	126	5	6	1901	0
"492"	492	127	5	7	1901	0
"493"	493	128	5	8	1901	0
"494"	494	129	5	9	1901	0
"495"	495	130	5	10	1901	0
"496"	496	131	5	11	1901	0
"497"	497	132	5	12	1901	0.07
"498"	498	133	5	13	1901	0
"499"	499	134	5	14	1901	0
"500"	500	135	5	15	1901	0.24
"501"	501	136	5	16	1901	0
"502"	502	137	5	17	1901	0
"503"	503	138	5	18	1901	0
"504"	504	139	5	19	1901	0
"505"	505	140	5	20	1901	1.9
"506"	506	141	5	21	1901	1.38
"507"	507	142	5	22	1901	2.32
"508"	508	143	5	23	1901	0
"509"	509	144	5	24	1901	0.34
"510"	510	145	5	25	1901	0.32
"511"	511	146	5	26	1901	0
"512"	512	147	5	27	1901	0
"513"	513	148	5	28	1901	0
"514"	514	149	5	29	1901	0
"515"	515	150	5	30	1901	0
"516"	516	151	5	31	1901	0.77
"517"	517	152	6	1	1901	0
"518"	518	153	6	2	1901	0.13
"519"	519	154	6	3	1901	0.08
"520"	520	155	6	4	1901	0.01
"521"	521	156	6	5	1901	0.01
"522"	522	157	6	6	1901	0
"523"	523	158	6	7	1901	0
"524"	524	159	6	8	1901	0
"525"	525	160	6	9	1901	0
"526"	526	161	6	10	1901	0.17
"527"	527	162	6	11	1901	0.12
"528"	528	163	6	12	1901	0
"529"	529	164	6	13	1901	0
"530"	530	165	6	14	1901	0.36
"531"	531	166	6	15	1901	1.46
"532"	532	167	6	16	1901	0
"533"	533	168	6	17	1901	0
"534"	534	169	6	18	1901	0.02
"535"	535	170	6	19	1901	0
"536"	536	171	6	20	1901	0
"537"	537	172	6	21	1901	0
"538"	538	173	6	22	1901	0
"539"	539	174	6	23	1901	0
"540"	540	175	6	24	1901	0
"541"	541	176	6	25	1901	0
"542"	542	177	6	26	1901	0
"543"	543	178	6	27	1901	0
"544"	544	179	6	28	1901	0
"545"	545	180	6	29	1901	0
"546"	546	181	6	30	1901	0
"547"	547	182	7	1	1901	0
"548"	548	183	7	2	1901	0
"549"	549	184	7	3	1901	0
"550"	550	185	7	4	1901	0
"551"	551	186	7	5	1901	0
"552"	552	187	7	6	1901	0
"553"	553	188	7	7	1901	0
"554"	554	189	7	8	1901	0
"555"	555	190	7	9	1901	0
"556"	556	191	7	10	1901	0.21
"557"	557	192	7	11	1901	0
"558"	558	193	7	12	1901	0
"559"	559	194	7	13	1901	0
"560"	560	195	7	14	1901	0
"561"	561	196	7	15	1901	0
"562"	562	197	7	16	1901	0.03
"563"	563	198	7	17	1901	0
"564"	564	199	7	18	1901	0
"565"	565	200	7	19	1901	0
"566"	566	201	7	20	1901	0
"567"	567	202	7	21	1901	0
"568"	568	203	7	22	1901	0
"569"	569	204	7	23	1901	0
"570"	570	205	7	24	1901	0
"571"	571	206	7	25	1901	0.47
"572"	572	207	7	26	1901	0
"573"	573	208	7	27	1901	0
"574"	574	209	7	28	1901	0
"575"	575	210	7	29	1901	0
"576"	576	211	7	30	1901	0
"577"	577	212	7	31	1901	0
"578"	578	213	8	1	1901	0
"579"	579	214	8	2	1901	0
"580"	580	215	8	3	1901	0.04
"581"	581	216	8	4	1901	0
"582"	582	217	8	5	1901	0
"583"	583	218	8	6	1901	0.06
"584"	584	219	8	7	1901	0.06
"585"	585	220	8	8	1901	0.02
"586"	586	221	8	9	1901	0
"587"	587	222	8	10	1901	0.01
"588"	588	223	8	11	1901	0.01
"589"	589	224	8	12	1901	0
"590"	590	225	8	13	1901	0
"591"	591	226	8	14	1901	0.05
"592"	592	227	8	15	1901	0
"593"	593	228	8	16	1901	0
"594"	594	229	8	17	1901	0
"595"	595	230	8	18	1901	0
"596"	596	231	8	19	1901	0.19
"597"	597	232	8	20	1901	0.05
"598"	598	233	8	21	1901	0
"599"	599	234	8	22	1901	0
"600"	600	235	8	23	1901	0.02
"601"	601	236	8	24	1901	0
"602"	602	237	8	25	1901	0
"603"	603	238	8	26	1901	0
"604"	604	239	8	27	1901	0
"605"	605	240	8	28	1901	0
"606"	606	241	8	29	1901	0
"607"	607	242	8	30	1901	0.06
"608"	608	243	8	31	1901	0.15
"609"	609	244	9	1	1901	0.15
"610"	610	245	9	2	1901	0
"611"	611	246	9	3	1901	0.63
"612"	612	247	9	4	1901	0
"613"	613	248	9	5	1901	0
"614"	614	249	9	6	1901	0.62
"615"	615	250	9	7	1901	0
"616"	616	251	9	8	1901	0.85
"617"	617	252	9	9	1901	0
"618"	618	253	9	10	1901	0
"619"	619	254	9	11	1901	0
"620"	620	255	9	12	1901	0
"621"	621	256	9	13	1901	0
"622"	622	257	9	14	1901	0
"623"	623	258	9	15	1901	0
"624"	624	259	9	16	1901	0
"625"	625	260	9	17	1901	0
"626"	626	261	9	18	1901	0
"627"	627	262	9	19	1901	0
"628"	628	263	9	20	1901	0
"629"	629	264	9	21	1901	0
"630"	630	265	9	22	1901	0
"631"	631	266	9	23	1901	0
"632"	632	267	9	24	1901	0
"633"	633	268	9	25	1901	0
"634"	634	269	9	26	1901	0
"635"	635	270	9	27	1901	0
"636"	636	271	9	28	1901	0
"637"	637	272	9	29	1901	0
"638"	638	273	9	30	1901	0
"639"	639	274	10	1	1901	0
"640"	640	275	10	2	1901	0
"641"	641	276	10	3	1901	0
"642"	642	277	10	4	1901	0
"643"	643	278	10	5	1901	0
"644"	644	279	10	6	1901	0.3
"645"	645	280	10	7	1901	0.06
"646"	646	281	10	8	1901	0
"647"	647	282	10	9	1901	0
"648"	648	283	10	10	1901	0
"649"	649	284	10	11	1901	0
"650"	650	285	10	12	1901	0
"651"	651	286	10	13	1901	0
"652"	652	287	10	14	1901	0
"653"	653	288	10	15	1901	0
"654"	654	289	10	16	1901	0
"655"	655	290	10	17	1901	0
"656"	656	291	10	18	1901	0
"657"	657	292	10	19	1901	0
"658"	658	293	10	20	1901	0
"659"	659	294	10	21	1901	0
"660"	660	295	10	22	1901	0
"661"	661	296	10	23	1901	0
"662"	662	297	10	24	1901	0
"663"	663	298	10	25	1901	0
"664"	664	299	10	26	1901	0
"665"	665	300	10	27	1901	0
"666"	666	301	10	28	1901	0
"667"	667	302	10	29	1901	0
"668"	668	303	10	30	1901	0
"669"	669	304	10	31	1901	0
"670"	670	305	11	1	1901	0
"671"	671	306	11	2	1901	0
"672"	672	307	11	3	1901	0
"673"	673	308	11	4	1901	0
"674"	674	309	11	5	1901	0
"675"	675	310	11	6	1901	0
"676"	676	311	11	7	1901	0
"677"	677	312	11	8	1901	0
"678"	678	313	11	9	1901	0
"679"	679	314	11	10	1901	0
"680"	680	315	11	11	1901	0
"681"	681	316	11	12	1901	0
"682"	682	317	11	13	1901	0
"683"	683	318	11	14	1901	0
"684"	684	319	11	15	1901	0
"685"	685	320	11	16	1901	0
"686"	686	321	11	17	1901	0
"687"	687	322	11	18	1901	0
"688"	688	323	11	19	1901	0
"689"	689	324	11	20	1901	0
"690"	690	325	11	21	1901	0
"691"	691	326	11	22	1901	0
"692"	692	327	11	23	1901	0
"693"	693	328	11	24	1901	0.02
"694"	694	329	11	25	1901	0
"695"	695	330	11	26	1901	0
"696"	696	331	11	27	1901	0
"697"	697	332	11	28	1901	0
"698"	698	333	11	29	1901	0
"699"	699	334	11	30	1901	0
"700"	700	335	12	1	1901	0
"701"	701	336	12	2	1901	0
"702"	702	337	12	3	1901	0.57
"703"	703	338	12	4	1901	0
"704"	704	339	12	5	1901	0
"705"	705	340	12	6	1901	0
"706"	706	341	12	7	1901	0.11
"707"	707	342	12	8	1901	0
"708"	708	343	12	9	1901	0
"709"	709	344	12	10	1901	0.09
"710"	710	345	12	11	1901	0.23
"711"	711	346	12	12	1901	0.22
"712"	712	347	12	13	1901	0.09
"713"	713	348	12	14	1901	0.02
"714"	714	349	12	15	1901	0
"715"	715	350	12	16	1901	0
"716"	716	351	12	17	1901	0
"717"	717	352	12	18	1901	0
"718"	718	353	12	19	1901	0
"719"	719	354	12	20	1901	0
"720"	720	355	12	21	1901	0
"721"	721	356	12	22	1901	0
"722"	722	357	12	23	1901	0
"723"	723	358	12	24	1901	0.04
"724"	724	359	12	25	1901	0
"725"	725	360	12	26	1901	0
"726"	726	361	12	27	1901	0
"727"	727	362	12	28	1901	0
"728"	728	363	12	29	1901	0
"729"	729	364	12	30	1901	0
"730"	730	365	12	31	1901	0
"731"	731	1	1	1	1902	0
"732"	732	2	1	2	1902	0
"733"	733	3	1	3	1902	0
"734"	734	4	1	4	1902	0
"735"	735	5	1	5	1902	0
"736"	736	6	1	6	1902	0
"737"	737	7	1	7	1902	0
"738"	738	8	1	8	1902	0
"739"	739	9	1	9	1902	0
"740"	740	10	1	10	1902	0
"741"	741	11	1	11	1902	0
"742"	742	12	1	12	1902	0
"743"	743	13	1	13	1902	0
"744"	744	14	1	14	1902	0
"745"	745	15	1	15	1902	0
"746"	746	16	1	16	1902	0
"747"	747	17	1	17	1902	0
"748"	748	18	1	18	1902	0
"749"	749	19	1	19	1902	0
"750"	750	20	1	20	1902	0
"751"	751	21	1	21	1902	0
"752"	752	22	1	22	1902	0.02
"753"	753	23	1	23	1902	0.1
"754"	754	24	1	24	1902	0.02
"755"	755	25	1	25	1902	0.18
"756"	756	26	1	26	1902	0
"757"	757	27	1	27	1902	0
"758"	758	28	1	28	1902	0
"759"	759	29	1	29	1902	0
"760"	760	30	1	30	1902	0
"761"	761	31	1	31	1902	0
"762"	762	32	2	1	1902	0.07
"763"	763	33	2	2	1902	0
"764"	764	34	2	3	1902	0
"765"	765	35	2	4	1902	0
"766"	766	36	2	5	1902	0
"767"	767	37	2	6	1902	0
"768"	768	38	2	7	1902	0
"769"	769	39	2	8	1902	0
"770"	770	40	2	9	1902	0
"771"	771	41	2	10	1902	0
"772"	772	42	2	11	1902	0
"773"	773	43	2	12	1902	0
"774"	774	44	2	13	1902	0.08
"775"	775	45	2	14	1902	0
"776"	776	46	2	15	1902	0
"777"	777	47	2	16	1902	0
"778"	778	48	2	17	1902	0
"779"	779	49	2	18	1902	0
"780"	780	50	2	19	1902	0
"781"	781	51	2	20	1902	0
"782"	782	52	2	21	1902	0
"783"	783	53	2	22	1902	0
"784"	784	54	2	23	1902	0
"785"	785	55	2	24	1902	0
"786"	786	56	2	25	1902	0
"787"	787	57	2	26	1902	0
"788"	788	58	2	27	1902	0
"789"	789	59	2	28	1902	0
"790"	790	60	3	1	1902	0
"791"	791	61	3	2	1902	0
"792"	792	62	3	3	1902	0
"793"	793	63	3	4	1902	0
"794"	794	64	3	5	1902	0
"795"	795	65	3	6	1902	0
"796"	796	66	3	7	1902	0
"797"	797	67	3	8	1902	0
"798"	798	68	3	9	1902	0
"799"	799	69	3	10	1902	0.03
"800"	800	70	3	11	1902	0
"801"	801	71	3	12	1902	0
